한글명,영문명,등급,효과별,분류,성분설명,연관성분,참고논문
하이드롤라이즈드소듐하이알루로네이트,Hydrolyzed Sodium Hyaluronate*,훌륭함,수분 공급,보습제(습윤제),"하이드롤라이즈드소듐하이알루로네이트는 가수분해 과정을 거친 소듐하이알루로네이트(하이알루로닉애씨드의 염 형태)이다. 이 과정은 물이나 효소를 첨가하여 다른 형태로 성분을 변형하는 것을 포함된다. 이 경우 분자량이 낮은 소듐하이알루로네이트 형태가 되어 피부에 더 쉽게 침투할 수 있다.
분자량이 낮으면 피부 표면층에 수분을 더 많이 공급할 수 있다. 소듐하이알루로네이트은 이미 히알루론산보다 분자량이 낮기 때문에 이 형태를 “초저분자량 히알루론산(Ultra-low weight hyaluronic acid)”이라고도 한다.
하이드롤라이즈드소듐하이알루로네이트가 가수분해되지 않은 소듐하이알루로네이트보다 낫다는 의미는 아니며 단순히 다르게 작용한다는 것을 뜻한다. 때문에 다양한 형태의 히알루론산을 사용하여 피부 관리 루틴을 최대한 견고하게 유지하는 것이 좋다.
하이드롤라이즈드소듐하이알루로네이트 원료는 백색 분말이다. 일반적인 사용 범위는 다른 유형의 히알루론산과 결합할 때 0.1~0.5%다. 단독으로 사용할 경우 5% 농도(1% 용액에서)를 사용하는 것을 권고한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","하이알루로닉애씨드, 소듐하이알루로네이트","EChemi (supplier), Accessed December 2022, ePublication
Journal of Cosmetic Dermatology, December 2014, pages 277-287
Communications in Computer and Information Science, November/December 2012, pages 174–180"
하이드롤라이즈드쌀단백질,Hydrolyzed Rice Protein*,훌륭함,"안티에이징, 피부 톤 개선, 수분 공급","식물추출물, 펩타이드","하이드롤라이즈드쌀단백질은 일반적으로 피부/모발 컨디셔닝제로 분류되지만, 연구에 따르면 항산화제와 펩타이드가 함유되어 있어 그 이상의 효능을 발휘하는 것으로 나타났다. 또한 연구에서 잠재적으로 피부 톤을 균일하게 유지하고 건조함을 유발하는 피부의 특정 기전을 억제하는데 도움이 되는 것으로 나타났다. 아미노산이 풍부하다는 점도 주목할 필요가 있다.
기술적으로 하이드롤라이즈드쌀단백질은 쌀을 산, 효소 또는 다른 방법으로 화학적 가수분해를 통해 얻어진 산물이다. 쌀 생산 과정의 부산물로서 “업사이클링” 성분으로 생각될 수 있다.
2006년 화장품 성분 검토 보고서를 통해 안전한 화장품 성분으로 재확인 되었다. 당시 하이드롤라이즈드쌀단백질의 배합 농도는 0.1~2.0%이었으나 최근 원료 공급업체가 제시한 배합 수준은 확인된 것을 기준으로 최대 5%이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",쌀겨추출물,"Personal Care Products Council, Accessed January 2023, ePublication
UL Prospector (supplier info), Accessed January 2023, ePublication
Molecules, June 2021, pages 1-16
Food & Function, 2020, pages 8,757-8,767
International Journal of Toxicology, 2006, pages 91–120"
하이드롤라이즈드 에스알-(폴리펩타이드 168 올리고펩타이드 178),Hydrolyzed sr-(Polypeptide 168 Oligopeptide 178),훌륭함,"안티에이징, 수분 공급, 진정","피막형성제, 보습제(습윤제), 펩타이드, 질감향상제","하이드롤라이즈드 에스알-(폴리펩타이드 168 올리고펩타이드 178)은 실험실에서 개발된 펩타이드이다. 이 비건 실크 폴리펩타이드는 발효 과정을 통해 얻어지며, 피부에 적용 시 오염, 자외선, 블루라이트 등 외부 환경으로부터 피부를 보호하는 보이지 않는 보호막을 형성한다. 따라서 피막형성제와 보습제 특성을 가진 성분으로 평가된다.
이 펩타이드는 피부의 수분 손실을 막는 동시에 다른 성분의 효능을 높이는 ‘보호막’이자 ‘전달체’ 역할을 한다. 또한 피부 장벽 개선을 지원하고, 콜라겐을 손상시키는 요인을 줄이며, 피부 광채를 눈에 띄게 케어하는데 도움을 준다.
하이드롤라이즈드 에스알-(폴리펩타이드 168 올리고펩타이드 178)은 실험실에서 설계된 대로 보습제, 아이크림, 세럼 등 제품의 심미적 완성도를 높이는 데도 크게 기여한다.
공급업체가 진행한 인체적용 시험 데이터에 따르면, 피부 탄력, 주름, 탄성, 질감 개선과 함께 얼굴 중간 부위의 리프팅 효과가 확인되었다.
스킨케어 제품에서의 권장 사용량은 1~2%이며, 생분해성 성분으로 간주된다.
참고: 올리고펩타이드는 일반적으로 2~10개의 아미노산으로 구성된 짧은 사슬 펩타이드이며, 폴리펩타이드는 20~50개의 아미노산으로 이루어진 더 큰 구조이다. 이 둘을 결합하면 펩타이드(또는 그 신호)를 피부의 다양한 부위에 효과적으로 전달할 수 있다.","실크단백질, 하이드롤라이즈드실크, 펩타이드","Journal of Applied Biomaterials and Functional Materials, April 2025, Volume 23, ePublication
Biomolecules, January 2025, pages 1–30"
하이드롤라이즈드조류추출물,Hydrolyzed Algae Extract*,훌륭함,,식물추출물,"조류추출물의 가수 분해 형태. 피부에 이로운 다당류의 풍부한 공급원이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","조류, 조류추출물, 폴리사카라이드","Cosmetics, December 2017, pages 1-18
Marine Drugs, December 2017, ePublication"
하이드롤라이즈드콩단백질,Hydrolyzed Soy Protein*,훌륭함,안티에이징,"식물추출물, 항산화제","가수분해를 거친 콩(soy) 단백질의 한 형태로 항산화 작용을 한다. 가수분해는 물을 첨가하여 성분을 한 형태에서 다른 형태로 바꾸는 것을 말한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",돌콩 추출물,
하이드롤라이즈드펌프킨씨드케이크,Hydrolyzed Pumpkin Seedcake*,훌륭함,"수분 공급, 안티에이징","식물추출물, 수분증발차단제-불투명화제","호박에서 유래한 식물성 성분이다. 수분 손실로부터 피부를 보호하고 탄력 있게 유지하는데 도움을 주며, 이 단백질에서 자연적으로 생성된 효소는 지방이 산화되지 않도록 해준다. 호박 씨앗은 비타민 E와 같은 다양한 항산화 화합물이고 피부를 보충해주는 핵심 지방산의 매우 좋은 공급원이다. 그래서 환경의 해로운 요인으로 인한 징후가 생기지 않게 피부를 보호해준다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","호박씨추출물, 호박, 당호박씨추출물","Journal of Food Science and Technology, February 2015, pages 1,008-1,015
Food Chemistry, August 2013, pages 155-161
Nutrition Research and Practice, February 2012, pages 21-27"
하이드롤라이즈드하이알루로닉애씨드,Hydrolyzed Hyaluronic Acid*,훌륭함,수분 공급,보습제(습윤제),"하이드롤라이즈드하이알루로닉애씨드는 가수분해 과정을 거친 히알루론산으로, 물이나 효소를 첨가하여 성분을 한 형태에서 다른 형태로 변화시키는 것이다. 이 경우 분자량이 더 낮은 히알루론산 형태가 되어 피부에 더 쉽게 침투할 수 있다(순수한 히알루론산은 분자가 크다).
낮은 분자량은 피부 표면층의 수분 공급을 증가시킨다. 이것은 가수분해된 히알루론산이 가수분해되지 않은 히알루론산보다 낫다는 것을 의미하는 것이 아니라 단순히 다르게 작용한다는 것을 의미한다. 다양한 형태의 히알루론산(생체 이용 가능성이 더 높은 히알루론산 나트륨 포함)을 사용하여 스킨 케어 루틴을 최대한 견고하게 유지하는 것이 좋다.
하이드롤라이즈드하이알루로닉애씨드 사용 범위는 일반적으로 0.1–0.5%이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","하이알루로닉애씨드, 소듐하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트","Molecules, August 2021, page 4429
GlennCorp.com (supplier), Accessed December 2022, ePublication"
하이드롤라이즈드호호바에스터,Hydrolyzed Jojoba Esters*,훌륭함,수분 공급,"유연제(연화제), 식물추출물, pH 조절제","하이드롤라이즈드호호바에스터는 호호바 식물에서 유래한 필수 지방산이 물에 의해 분해되어 본래의 특성과 다른 새로운 복합체로 형성된 성분이다. 이러한 방식은 인간이 음식을 소화하여 에너지로 바꾸는 과정과 유사하다.
호호바에스터는 화장품에서 피부 연화제로 작용한다. 연구에 따르면 이러한 에스터는 피부가 수분을 유지하고 장벽의 기능을 강화하는데 중요한 역할을 한다. 이 성분이 비드(bead) 형태로 사용될 경우, 피부를 부드럽게 각질 제거하는 스크럽 성분으로도 기능할 수 있다. 또한 가수분해된 형태는 산화에 취약한 항산화 성분의 안정성을 높이는 데에도 도움을 준다.
실온에서 하이드롤라이즈드호호바에스터는 끈적한 점성의 젤 형태이다. Cosmetic Ingredient Review(CIR) 패널은 호호바오일과 그의 에스터(하이드롤라이즈드호호바에스터를 포함한다)는 화장품에 사용하기 안전하다 판단했다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","호호바에스터, 호호바오일","Advances in Environmental Biology, January 2016, pages 237-249
Journal of the American Academy of Dermatology, March 2009
Journal of Cosmetic Dermatology, December 2008, pages 268-274
https://journals.sagepub.com/doi/abs/10.3109/10915819209141992"
하이드롤라이즈드효모추출물,Hydrolyzed Yeast Extract*,훌륭함,"안티에이징, 수분 공급, 진정","항산화제, 보습제(습윤제)","하이드롤라이즈드효모추출물은 올리고당이나 다당류와 같은 복합당, 히알루론산 유사 성분, 진정 항산화제인 베타 글루칸 등 피부에 유익한 여러 물질이 포함된 복합 성분이다. 또한 피부 친화적인 지질 성분이 피부 장벽을 탄탄하게 하고 탄력을 유지하는 데 도움을 준다.
일반적으로 사카로미세스 세레비시아(Saccharomyces cerevisiae)라는 효모를 발효해 얻어진다. 피부에 수분을 공급하고 피부 장벽을 강화하며 피부 톤을 환하게 밝혀주는 이점과 함께 가려움을 완화하는 능력은 콜로이드 오트밀을 능가하는 것으로 나타났다.
하이드롤라이즈드효모추출물은 피부의 천연 보습인자 (NMF)를 강화하고 피부 장벽을 보존하는 수분 결합제와 혼합되어 화장품에 사용된다. 이 혼합물의 배합 수준은 1-3%이다. 화장품에 사용하기에 안전한 성분으로 여겨지며 사용량에 대한 제한이 없다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","효모, 효모추출물",
하이알루로닉애씨드,Hyaluronic Acid*,훌륭함,"안티에이징, 수분 공급","보습제(습윤제), 항산화제, 질감향상제","피부 조직의 구성 요소이다. 스킨케어 제품에는 합성으로 변형한 형태로 사용돼, 피부 보충(Skin replenishing) 성분으 탁월한 역량을 발휘한다. 하이알루로닉애씨드는 회복 능력이 있어, 피부의 수분 함량을 높이고 진정 시켜 주며 수분 손실을 막아줄 수 있다. 하이알루로닉애씨드는 자신의 무게의 최대 천 배까지 물을 머금을 수 있어, 모든 피부 타입에 탁월한 수분 공급 성분이다.
이러한 기능 이외에도 항산화 작용을 해, 환경의 해로운 요인에 대응해 피부를 방어해주는 역할도 한다.
경구 섭취하면, 낮은 분자량과 높은 분자량 모두, 피부의 수분 유지 능력을 향상시키고 깊은 주름과 거친 피부 결을 현저하게 개선해주고 피부 보호 장벽을 강화하는 데 도움을 준다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머","ournal of Evidence-Based, Complementary and Alternative Medicine, October 2017, pages 816-823
Journal of Medicinal Food, October 2016, pages 1,172-1,179
Nutrition Journal, July 2013, ePublication
Journal of Drugs in Dermatology, 2011, issue 9, pages 990-1000
Journal of Clinical and Aesthetic Dermatology, March 2009, pages 38-43"
